=== Testing mode: linear ===

Instance 1:
Nodes: 100, Edges: 400, Exec Time: 14.6844 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 8

Instance 11:
Nodes: 10, Edges: 40, Exec Time: 0.1766 sec,  PoA: 1.002, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 20, Edges: 80, Exec Time: 0.8034 sec,  PoA: 1.004, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 30, Edges: 120, Exec Time: 3.0535 sec,  PoA: 1.004, Equilibrium Iterations: 13, Social Optimality Iterations: 18
Nodes: 40, Edges: 160, Exec Time: 4.1206 sec,  PoA: 1.008, Equilibrium Iterations: 9, Social Optimality Iterations: 15
Nodes: 50, Edges: 200, Exec Time: 6.0433 sec,  PoA: 1.02, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 60, Edges: 240, Exec Time: 8.0099 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 70, Edges: 280, Exec Time: 13.5594 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 14
Nodes: 80, Edges: 320, Exec Time: 17.6190 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 90, Edges: 360, Exec Time: 21.6014 sec,  PoA: 1.008, Equilibrium Iterations: 7, Social Optimality Iterations: 10
Nodes: 100, Edges: 400, Exec Time: 32.3298 sec,  PoA: 1.01, Equilibrium Iterations: 8, Social Optimality Iterations: 12

Instance 12:
Nodes: 10, Edges: 40, Exec Time: 0.3214 sec,  PoA: 1.004, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 20, Edges: 80, Exec Time: 1.0363 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 7
Nodes: 30, Edges: 120, Exec Time: 2.2504 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 40, Edges: 160, Exec Time: 3.7723 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 50, Edges: 200, Exec Time: 6.2734 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 60, Edges: 240, Exec Time: 3.7306 sec,  PoA: 1.0, Equilibrium Iterations: 2, Social Optimality Iterations: 2
Nodes: 70, Edges: 280, Exec Time: 12.9264 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 80, Edges: 320, Exec Time: 17.1547 sec,  PoA: 1.01, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 90, Edges: 360, Exec Time: 27.1504 sec,  PoA: 1.008, Equilibrium Iterations: 9, Social Optimality Iterations: 12
Nodes: 100, Edges: 400, Exec Time: 27.3823 sec,  PoA: 1.015, Equilibrium Iterations: 8, Social Optimality Iterations: 9

Instance 13:
Nodes: 10, Edges: 40, Exec Time: 0.2906 sec,  PoA: 1.004, Equilibrium Iterations: 7, Social Optimality Iterations: 7
Nodes: 20, Edges: 80, Exec Time: 0.9226 sec,  PoA: 1.003, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 1.9699 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 40, Edges: 160, Exec Time: 3.2792 sec,  PoA: 1.006, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 50, Edges: 200, Exec Time: 6.0719 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 60, Edges: 240, Exec Time: 7.9535 sec,  PoA: 1.004, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 70, Edges: 280, Exec Time: 10.9451 sec,  PoA: 1.006, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 80, Edges: 320, Exec Time: 15.3168 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 90, Edges: 360, Exec Time: 4.3126 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 100, Edges: 400, Exec Time: 32.8276 sec,  PoA: 1.015, Equilibrium Iterations: 8, Social Optimality Iterations: 12

Instance 14:
Nodes: 10, Edges: 40, Exec Time: 0.3592 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 7
Nodes: 20, Edges: 80, Exec Time: 1.0131 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 2.1408 sec,  PoA: 1.006, Equilibrium Iterations: 7, Social Optimality Iterations: 10
Nodes: 40, Edges: 160, Exec Time: 2.8963 sec,  PoA: 1.008, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 50, Edges: 200, Exec Time: 5.7133 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 60, Edges: 240, Exec Time: 8.8927 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 70, Edges: 280, Exec Time: 14.4651 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 14
Nodes: 80, Edges: 320, Exec Time: 17.9821 sec,  PoA: 1.004, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 90, Edges: 360, Exec Time: 25.3152 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 100, Edges: 400, Exec Time: 27.4853 sec,  PoA: 1.013, Equilibrium Iterations: 8, Social Optimality Iterations: 7

Instance 15:
Nodes: 10, Edges: 40, Exec Time: 0.3609 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 7
Nodes: 20, Edges: 80, Exec Time: 1.2638 sec,  PoA: 1.003, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 1.9843 sec,  PoA: 1.01, Equilibrium Iterations: 7, Social Optimality Iterations: 7
Nodes: 40, Edges: 160, Exec Time: 4.4878 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 50, Edges: 200, Exec Time: 5.6577 sec,  PoA: 0.986, Equilibrium Iterations: 9, Social Optimality Iterations: 6
Nodes: 60, Edges: 240, Exec Time: 9.8159 sec,  PoA: 1.02, Equilibrium Iterations: 7, Social Optimality Iterations: 12
Nodes: 70, Edges: 280, Exec Time: 12.8112 sec,  PoA: 1.004, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 80, Edges: 320, Exec Time: 14.8924 sec,  PoA: 1.016, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 90, Edges: 360, Exec Time: 21.7679 sec,  PoA: 1.01, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 100, Edges: 400, Exec Time: 31.0238 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 11

=== Testing mode: quadratic ===

Instance 1:
Nodes: 10, Edges: 40, Exec Time: 0.4181 sec,  PoA: 1.001, Equilibrium Iterations: 15, Social Optimality Iterations: 18
Nodes: 20, Edges: 80, Exec Time: 1.3730 sec,  PoA: 1.008, Equilibrium Iterations: 10, Social Optimality Iterations: 21
Nodes: 30, Edges: 120, Exec Time: 3.3630 sec,  PoA: 1.013, Equilibrium Iterations: 14, Social Optimality Iterations: 19
Nodes: 40, Edges: 160, Exec Time: 6.2457 sec,  PoA: 1.01, Equilibrium Iterations: 15, Social Optimality Iterations: 22
